Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
sub-xp38_ses-03_run-01_T1w,10654.5,479.7,14902.9,49474.4,7760.0,3737.3,5215.4,2130.9,936.4,2237.3,20947.2,3619.8,1625.8,1144.1,557.4,4446.8,0.0,811.3,10911.4,408.0,14490.4,52130.8,7565.6,3831.0,5294.6,1904.7,3744.7,1699.2,677.1,4358.8,0.0,763.9,0.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.8,807.6,950.6,927.3,829.8,1168309.0,1140709.0,1140749.87683,239520.51326,240597.252154,480117.765414,234822.657322,236552.454097,471375.111419,59549.0,641555.765414,1035758.87683,1012304.87683,1011001.0,1437720.0,0.853529,1.050352,9.0,8.0,17.0,1368798.59877
sub-sub-xp38_ses-04_run-01_T1w,10690.8,465.4,14813.0,49211.5,7702.9,3743.3,5210.4,2177.7,935.1,2217.8,20873.3,3638.8,1579.8,1161.2,572.4,4442.4,0.0,821.7,10967.4,419.2,14534.7,52185.1,7643.2,3840.1,5244.4,1826.0,3745.6,1712.5,707.8,4364.8,0.0,767.2,0.0,835.8,0.0,0.0,0.0,0.0,0.0,0.0,1064.6,784.9,888.7,770.2,864.2,1161899.0,1134206.0,1134522.30297,236924.624505,239277.442089,476202.066594,234166.142171,235255.094204,469421.236374,59618.0,637372.066594,1029817.30297,1006281.30297,1004925.0,1433952.0,0.856468,1.057006,11.0,14.0,25.0,1356616.74635
sub-xp38_ses-05_run-01_T1w,10177.0,418.0,14853.6,49801.6,7836.6,3786.1,5309.5,2202.0,880.9,2166.3,21116.9,3631.9,1630.8,1141.7,608.0,4347.5,0.0,762.2,10484.1,367.3,14592.0,52463.4,7728.5,3862.7,5370.1,1883.8,3754.3,1793.8,690.6,4395.9,0.0,745.3,0.0,736.8,0.0,0.0,0.0,0.0,0.0,0.0,1065.5,810.7,910.5,888.9,879.7,1174216.0,1147857.0,1148043.93902,242247.052537,242289.062382,484536.114918,236104.457628,236858.366477,472962.824106,60266.0,647182.114918,1041305.93902,1018938.93902,1017578.0,1438523.0,0.87079,1.066798,10.0,11.0,21.0,1348449.63844
sub-xp38_ses-06_run-01_T1w,10433.7,430.3,14739.5,50220.9,7867.7,3768.3,5215.9,2111.7,889.5,2313.9,21298.3,3677.2,1604.3,1140.6,597.0,4442.7,0.0,698.0,10684.2,371.1,14641.5,53513.9,7696.1,3825.8,5309.8,1913.8,3792.6,1650.1,705.0,4368.9,0.0,744.7,0.0,812.4,0.0,0.0,0.0,0.0,0.0,0.0,1041.0,786.5,813.4,699.8,835.3,1168239.0,1141274.0,1141717.13883,239861.824073,240723.257681,480585.081754,233964.420095,235383.636981,469348.057076,59972.0,644565.081754,1033861.13883,1011046.13883,1009462.0,1437161.0,0.869865,1.070104,4.0,9.0,13.0,1343011.11492
sub-xp38_ses-07_run-01_T1w,10398.6,421.4,14659.8,50083.6,7687.6,3810.7,5354.3,2193.4,921.8,2351.3,21132.5,3701.2,1638.6,1161.9,595.1,4435.5,0.0,754.2,10687.5,349.2,14464.8,52821.3,7511.9,3852.3,5363.8,1915.9,3855.5,1724.8,709.6,4330.7,0.0,749.2,0.0,816.8,0.0,0.0,0.0,0.0,0.0,0.0,1077.7,749.6,885.2,820.1,837.8,1171042.0,1143937.0,1143889.70322,239204.871425,242356.064385,481560.935809,234595.916653,236799.850757,471395.76741,60190.0,645003.935809,1037260.70322,1014414.70322,1013194.0,1437673.0,0.853411,1.047722,11.0,6.0,17.0,1372189.17155
sub-xs62_ses-01_run-01_T1w,7431.2,499.6,14772.8,63932.1,7488.7,3944.3,5483.8,2162.9,745.5,1332.8,19530.1,4002.4,1724.8,1207.5,589.8,4137.8,0.0,664.3,5623.9,729.8,14056.3,63320.6,7284.3,4194.0,5389.7,1936.4,4507.6,1842.5,701.1,3956.3,0.0,632.6,0.0,1209.8,0.0,0.0,0.0,0.0,0.0,0.0,875.0,597.2,769.8,706.1,792.0,1266935.0,1249041.0,1249490.46464,280251.252218,283096.597329,563347.849546,235830.503802,234824.111291,470654.615093,61049.0,751211.849546,1111433.46464,1096590.46464,1094602.0,1531066.0,0.759886,0.918307,16.0,19.0,35.0,1667270.06296
sub-xs62_ses-02_run-01_T1w,7735.5,505.6,14729.6,64496.6,7570.6,3990.4,5479.4,2135.6,694.1,1326.3,19448.4,3947.4,1695.5,1254.0,568.8,4222.1,0.0,608.8,5960.1,741.6,13898.3,64625.1,7219.1,4214.8,5450.6,1979.5,4504.8,1864.5,677.1,3998.8,0.0,676.1,0.0,966.2,0.0,0.0,0.0,0.0,0.0,0.0,860.5,606.4,681.7,655.4,804.9,1261145.0,1242416.0,1242811.602,278832.958129,281980.545733,560813.503863,233855.656858,230977.441281,464833.098139,61092.0,750623.503863,1103785.602,1088146.602,1086343.0,1524142.0,0.754886,0.912309,42.0,35.0,77.0,1670642.67972
sub-xs62_ses-03_run-01_T1w,7870.7,536.7,14842.4,63728.4,7604.6,3980.1,5508.8,2128.5,727.8,1313.1,19410.8,3947.9,1689.9,1245.1,565.8,4216.4,0.0,620.1,5971.1,766.0,14120.0,63870.2,7431.7,4254.0,5447.1,1901.9,4466.2,1925.4,666.5,4010.6,0.0,760.2,0.0,934.0,0.0,0.0,0.0,0.0,0.0,0.0,854.7,608.7,726.3,674.3,807.6,1262702.0,1243611.0,1244212.87925,282978.590299,283788.788478,566767.378778,231091.321769,230119.178702,461210.500471,61246.0,755106.378778,1106608.87925,1090636.87925,1088622.0,1530152.0,0.765899,0.928122,18.0,14.0,32.0,1648653.22754
sub-xs62_ses-04_run-01_T1w,7877.6,518.1,14805.5,63396.6,7655.7,4005.2,5561.1,2140.7,725.9,1316.1,19427.3,3966.0,1701.8,1267.6,587.8,4189.9,0.0,615.8,5952.6,745.4,14363.4,63442.1,7438.4,4270.4,5532.4,1856.0,4488.9,1889.7,689.3,4025.1,0.0,747.8,0.0,910.7,0.0,0.0,0.0,0.0,0.0,0.0,840.5,592.1,685.3,446.3,983.2,1264328.0,1245278.0,1245842.90223,281257.996825,283930.580544,565188.57737,232613.728504,232020.596352,464634.324856,61538.0,753199.57737,1108643.90223,1092757.90223,1090796.0,1532250.0,0.7437,0.901297,27.0,28.0,55.0,1700050.74348
sub-xs62_ses-05_run-01_T1w,7961.5,525.6,15075.1,63042.2,7739.0,4004.7,5581.1,2156.1,720.6,1387.8,19498.1,3962.5,1687.9,1210.9,568.9,4152.1,0.0,634.3,6003.7,746.6,14235.9,63373.1,7448.9,4260.8,5414.1,1895.4,4510.0,1814.9,664.0,4002.0,0.0,749.7,0.0,937.0,0.0,0.0,0.0,0.0,0.0,0.0,856.5,605.6,750.6,681.7,806.4,1255867.0,1236702.0,1237219.68378,280130.727216,282308.226852,562438.954068,230261.036898,229110.692817,459371.729715,61339.0,749721.954068,1100669.68378,1084623.68378,1082632.0,1531122.0,0.740892,0.903278,25.0,27.0,52.0,1695073.58
sub-xs62_ses-06_run-01_T1w,7943.7,510.0,15219.4,63724.0,7793.3,3996.3,5551.7,2152.0,720.3,1370.7,19172.1,3929.8,1671.5,1299.0,554.7,4099.7,0.0,635.4,5966.8,768.1,14246.7,63390.3,7348.8,4236.8,5437.1,1902.8,4427.5,1787.5,667.9,4040.9,0.0,711.8,0.0,948.6,0.0,0.0,0.0,0.0,0.0,0.0,883.4,578.1,804.9,819.3,766.0,1257591.0,1238412.0,1238985.13496,280701.797626,282408.768408,563110.566034,231248.658057,228607.910865,459856.568922,61078.0,750824.566034,1101403.13496,1085439.13496,1083472.0,1527504.0,0.751346,0.912605,13.0,22.0,35.0,1673785.154
sub-xs62_ses-07_run-01_T1w,7921.4,520.9,14965.5,63594.3,7665.1,4006.1,5549.3,2164.4,709.2,1377.5,19382.0,3986.9,1711.6,1255.2,593.5,4245.9,0.0,648.6,5989.5,741.7,14314.3,63386.4,7390.6,4270.4,5489.7,1927.1,4438.7,1944.3,669.9,4078.6,0.0,726.8,0.0,942.7,0.0,0.0,0.0,0.0,0.0,0.0,855.9,580.5,779.9,793.8,812.9,1261617.0,1242486.0,1243016.52393,282073.086855,284024.71899,566097.805846,230609.015389,229996.70269,460605.718079,61659.0,754322.805846,1105817.52393,1089845.52393,1087832.0,1529832.0,0.749705,0.90909,21.0,15.0,36.0,1682817.28739
