Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCerebralWhiteMatterVol,rhCerebralWhiteMatterVol,CerebralWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
sub-so70_ses-05_run-01_T1w,10544.0,328.4,14404.9,54786.7,8711.8,3560.0,5553.4,2114.4,940.0,1989.0,22938.9,4286.2,1739.6,728.9,494.4,4561.8,41.4,510.5,4645.2,344.4,13289.8,55054.8,8464.5,3797.9,5562.7,1971.1,4820.6,1670.6,555.2,4576.2,38.0,572.7,0.0,903.9,0.0,0.0,0.0,0.0,0.0,283.5,743.6,593.7,494.5,547.5,791.1,1230217.0,1210411.0,1210704.78662,254225.037298,255138.606605,509363.643903,251151.512411,247831.63031,498983.142721,63815.0,685159.643903,1092014.78662,1075682.78662,1071695.0,1712278.0,0.731749,1.018486,11.0,8.0,19.0,1681199.97573
sub-so70_ses-07_run-01_T1w,10216.9,429.4,14298.9,54976.6,8387.0,3536.4,5585.9,2153.3,941.5,1946.3,22820.9,4252.9,1780.4,724.0,519.0,4431.0,36.1,598.0,4535.1,327.6,13686.1,54784.2,8274.1,3637.8,5575.2,1947.7,4886.6,1812.5,595.1,4543.1,26.3,607.5,0.0,879.7,0.0,0.0,0.0,0.0,0.0,288.2,750.0,662.2,531.7,550.4,767.3,1236633.0,1217408.0,1217467.44415,256321.582222,256686.066051,513007.648273,252918.277456,249883.518417,502801.795873,63004.0,687891.648273,1098133.44415,1082387.44415,1078545.0,1706113.0,0.73656,1.016191,12.0,8.0,20.0,1678930.2261
sub-su24_ses-01_run-01_T1w,4632.0,262.2,17210.0,69478.5,9080.6,4337.3,5985.3,2435.6,779.7,2491.3,23970.1,5277.7,2069.5,988.8,702.9,5066.8,44.8,442.1,4748.5,253.8,16049.6,69420.8,8285.5,4338.1,6350.9,1977.1,5435.8,2169.2,837.6,4988.2,16.7,524.1,0.0,1114.7,0.0,0.0,0.0,0.0,0.0,239.2,1071.7,600.2,859.6,722.9,1075.2,1410550.0,1396628.0,1395660.28442,305931.722116,302170.066589,608101.788705,272896.351195,271888.144523,544784.495718,70347.0,819241.788705,1236613.28442,1226696.28442,1224110.0,1947409.0,0.746259,1.030287,19.0,25.0,44.0,1890162.56592
sub-su24_ses-02_run-01_T1w,4888.5,298.6,16568.5,68047.0,9378.2,4387.5,5743.1,2186.8,755.6,2448.8,23902.5,4996.8,1908.0,999.6,672.5,4922.8,33.7,426.9,5070.3,272.9,14970.8,68571.5,8989.0,4442.4,6364.9,1933.5,5236.2,2109.4,764.7,4743.5,15.3,489.8,0.0,967.4,0.0,0.0,0.0,0.0,0.0,229.9,1051.7,589.4,857.2,811.4,1073.2,1397801.0,1383175.0,1383181.71467,302092.601651,301035.145205,603127.746856,271543.030782,270813.937027,542356.967809,69431.0,810801.746856,1228738.71467,1218139.71467,1214751.0,1937618.0,0.744763,1.032383,24.0,23.0,47.0,1876840.66961
sub-su24_ses-03_run-01_T1w,4940.8,310.8,15316.1,66110.6,9657.6,4380.4,5430.6,2039.2,778.8,2504.2,24397.8,5198.6,1821.9,1039.5,642.0,5163.2,33.3,383.2,5075.0,343.7,15142.9,68955.7,8461.5,4523.5,6395.7,2058.7,5223.4,2187.6,809.6,4987.5,16.0,527.0,0.0,895.8,0.0,0.0,0.0,0.0,0.0,227.7,1038.9,573.3,856.9,828.9,1095.6,1384447.0,1369557.0,1369771.88639,299655.099152,296679.414581,596334.513733,269798.455075,268891.917579,538690.372654,69680.0,802440.513733,1217911.88639,1207210.88639,1204346.0,1931808.0,0.738683,1.030732,20.0,22.0,42.0,1874209.45431
sub-su24_ses-04_run-01_T1w,4952.2,353.9,16454.4,67126.7,7985.7,4450.8,6368.4,2510.4,776.7,2450.7,23680.5,4968.0,1962.6,967.7,768.4,5244.4,52.3,421.0,4987.0,232.6,15035.8,67726.9,8565.9,4566.1,6435.7,2041.8,5345.6,2263.4,794.8,4941.6,19.7,538.7,0.0,788.3,0.0,0.0,0.0,0.0,0.0,261.4,819.9,470.1,834.1,828.2,1109.7,1398617.0,1383901.0,1384131.13319,302271.641518,301800.074189,604071.715707,272135.556815,271268.860672,543404.417487,70290.0,810637.715707,1231413.13319,1220713.13319,1217454.0,1926523.0,0.744182,1.025072,23.0,30.0,53.0,1879402.1178
sub-su24_ses-05_run-01_T1w,5025.7,323.7,16841.6,66027.9,8080.3,4510.1,6404.3,2432.3,821.5,2289.8,23171.4,4928.6,1834.2,943.9,656.7,5108.9,42.8,401.6,5019.8,249.5,15646.7,67281.2,8349.0,4550.4,6332.1,2098.7,5296.5,2173.4,721.3,4747.5,19.9,616.3,0.0,1043.1,0.0,0.0,0.0,0.0,0.0,266.4,997.4,604.8,811.2,765.6,1114.6,1392725.0,1378058.0,1378163.41909,301359.154876,298755.560507,600114.715383,271657.095399,270830.608305,542487.703704,69360.0,804714.715383,1226030.41909,1215312.41909,1211671.0,1922133.0,0.740953,1.022608,36.0,36.0,72.0,1879639.03808
sub-su24_ses-06_run-01_T1w,4973.2,302.2,15818.3,67899.4,8310.1,4483.9,6449.7,2531.6,767.9,2539.9,24170.4,5164.0,2034.8,1009.0,689.5,5032.2,54.3,420.2,5079.9,257.4,15013.4,68772.3,8469.9,4540.9,6360.1,2049.4,5376.3,2087.5,782.3,4801.0,19.4,525.9,0.0,850.9,0.0,0.0,0.0,0.0,0.0,235.4,1021.9,594.9,864.6,813.0,1084.7,1386884.0,1371942.0,1371706.4543,299270.895556,296495.810217,595766.705773,270048.958402,268772.790119,538821.748522,70136.0,803625.705773,1218001.4543,1207231.4543,1204850.0,1947619.0,0.737358,1.035481,23.0,28.0,51.0,1880883.41724
sub-su24_ses-07_run-01_T1w,4832.0,339.7,15516.4,66490.2,8961.2,4350.7,6056.0,2640.8,787.9,2501.6,24035.7,4940.5,1951.6,990.2,661.0,4883.1,25.9,362.4,4931.0,242.6,15502.2,68057.4,8622.3,4487.2,6470.8,2016.6,5360.2,2105.3,729.3,4811.2,11.3,508.1,0.0,815.7,0.0,0.0,0.0,0.0,0.0,241.4,1038.7,572.6,851.0,768.4,1126.4,1399442.0,1385020.0,1385456.50742,303011.667157,301674.588032,604686.255189,272752.597066,273041.655161,545794.252226,69814.0,810411.255189,1232947.50742,1222605.50742,1219732.0,1933890.0,0.745079,1.029625,35.0,25.0,60.0,1878247.1227
sub-th01_ses-01_run-01_T1w,5607.1,322.0,14285.8,62619.6,9320.9,4124.9,6588.2,2478.1,1043.9,1606.5,22541.9,4952.6,2162.5,1138.3,568.3,4571.9,29.1,395.0,6134.5,399.4,13772.5,66175.1,8627.4,4470.5,6691.0,2256.5,5306.7,1981.9,653.1,4505.6,27.2,431.3,0.0,853.3,0.0,0.0,0.0,0.0,0.0,224.6,980.0,576.0,894.6,929.0,1160.0,1366506.0,1350147.0,1349850.0978,288937.292316,288491.93534,577429.227655,273162.203025,272598.667124,545760.870149,70302.0,777263.227655,1208870.0978,1196227.0978,1193672.0,1909539.0,0.752714,1.051834,23.0,22.0,45.0,1815437.39978
